Sender_Address,Recency,Frequency,Monetary,Segment,Churn
0x000175b5a901673303afce47b1f9bbb7a239a533,38,1,4.76219344,Low Value,1
0x000183da181adc0c69aeb424352a2b1707443d94,57,1,3.66594421,Low Value,1
0x00024bd9726cba2ed9fa279eac229095eb203848,3,1,3.22551953,Low Value,0
0x00039c3e282ff9f556d62bcd0b51876bc4766796,23,1,9.84797017,Low Value,0
0x00039ce5f6eb8b335cd2f57aa1a1ae39f6e3c834,59,1,0.90305918,Low Value,1
0x0004667c648ff292e240c76dc8625fbc8cfe99c8,50,1,7.30030942,Low Value,1
0x0007010b41ac4686e921186cea69139d021cc9cf,43,1,11.1096897,Low Value,1
0x0007c39a419395b88d2b85517fc084a95b4862b2,6,1,12.96541411,Low Value,0
0x00094ebc526a1b3133c7410fab66b98101e688a3,52,1,11.01298254,Low Value,1
0x000967bd6bfe595e50f3501559649c56c24d43b7,13,1,6.55964849,Low Value,0
0x000babfe187f05bdf9dc90334dcaeb224f55dc37,55,1,6.40513518,Low Value,1
0x000c501ba1c02a33ce53e2a7eb93ea854120f9e8,55,1,9.40416461,Low Value,1
0x000cbc28f776e26c4539d599597515cb910e63c3,25,1,3.89357789,Low Value,0
0x000cbc73453c43a0a7a84dcacffe80059089aaf2,31,1,7.36149471,Low Value,1
0x000e1360399e1509c9255f6bbe663673561db777,26,1,3.98001103,Low Value,0
0x000e7fe2625e269baf7c50be30dce73bc32c817e,24,1,12.26660957,Low Value,0
0x000f8a2bab4ced20067467f3818df4ee88762f1e,4,1,10.27549128,Low Value,0
0x0012ae9fb354a5668f86f31b44a011495e785734,63,1,6.02024242,Low Value,1
0x001318a903a82a3d8cfa9977ae74b47c9e8bc2f2,53,1,7.62356769,Low Value,1
0x0013c5b41d1d0efd28aa61f48affed891c6748a5,20,1,10.96729221,Low Value,0
0x001659afa7149b4a1b40ac59a2c6f9f0ba4ed700,50,1,11.96734159,Low Value,1
0x001715007b9486cf572fe38ca90f3eba488aa2a4,52,1,7.68666025,Low Value,1
0x001bf9b06f0e07ab4b5b0ad8b1547b7143e2608d,29,1,3.58492462,Low Value,0
0x001d778181b937910f1ad29d03f5b7c62cd4534c,7,1,5.54524945,Low Value,0
0x001f574801fe3cd5b01feb0340754feae392c911,15,1,8.76438059,Low Value,0
0x001f8686ef2987f125c6af9744f0721d1f015989,37,1,13.45743706,Low Value,1
0x0021d7a844e196f956c3ece493db2dd7456d3569,12,1,10.25727593,Low Value,0
0x0021e8e7ce0e9b89375c91577882f2f5e1794cfb,61,1,14.91696925,Low Value,1
0x002416772385435e365630010936169faf151237,45,1,5.84854578,Low Value,1
0x00253ffb9bbbad0a5a22a70ea0846be8a0849539,25,1,7.62583287,Low Value,0
0x002613cd902ee90e5a0428194eb3eac9ef126413,30,1,11.15617002,Low Value,0
0x00276b0f0e0c22190d3c2362d3c42411e844a7ac,41,1,11.37070109,Low Value,1
0x0028d7d700d51224f7ade05fd9713706c2d73c0b,19,1,7.38383507,Low Value,0
0x002a39896516937a28e1fa49cafb2fc54d01f432,45,1,13.46963319,Low Value,1
0x002c5f275b78d3f8441b2ddfe58a66f946801710,49,1,9.63598183,Low Value,1
0x002e04396fe83c1a7a4fdb8b2565afae92737f1b,11,1,2.36835029,Low Value,0
0x002fa2e05a3200c1dc1d515aca9b54a3033840a9,42,1,6.15816343,Low Value,1
0x0030c30f048c7129128d788717208a8c03000a0d,35,1,0.48538272,Low Value,1
0x0031b002f4e6fb6a86ed314da52404bc116ad24b,6,1,9.94278334,Low Value,0
0x0033af46fb3649236d41732085a084c90fee2f50,62,1,3.34378081,Low Value,1
0x0034118bdea78b0d002f8c36dd2c831e56724870,23,1,13.27540223,Low Value,0
0x0035ea37a8d9bba830c15d8c5466a64014a0beb2,18,1,5.96968991,Low Value,0
0x00372a3d73aa65d6d61df179a83d817b33200a12,24,1,11.78420676,Low Value,0
0x0038a6e1460f02fc62e8bc0b5181feb212bf9c2b,30,1,8.57897787,Low Value,0
0x003943c07b3c41bdd7803a86df256c6df0a9b16e,1,1,2.3876323,Low Value,0
0x003a5790e9337ef3c28894a2f30f665bcd47fa23,68,1,4.22459059,Low Value,1
0x003a5eba327045f2ab1840ef75d5562cef9c6632,10,1,2.72149062,Low Value,0
0x003b4b9e9c3375b9dc784da9eb0968635a32151b,35,1,14.09019483,Low Value,1
0x003cd50a05f576d041e4ee88c9c3b3ba0e28eb51,14,1,8.68387951,Low Value,0
0x003d0766acfb24224d6f8bf74088d58dff387923,28,1,0.56230106,Low Value,0
0x003e9eb58a2efcaecbc059e2e586ca0589a535de,24,1,1.258694,Low Value,0
0x003ecbef54b8c24d7973ac7ac260a3e61d76abb6,40,1,4.48701218,Low Value,1
0x00403d9ba52ef1e2acf8f7ff58e4ec1b779c68fa,17,1,11.59239375,Low Value,0
0x00407e65764df55f4d6d72d151ee46406f5952ef,38,1,4.70351029,Low Value,1
0x00413b314b5625b83dea1601e7682ab3be678c5a,23,1,2.78072792,Low Value,0
0x00428c67f0d254adff37a5061465ca097145b6c8,12,1,8.90499975,Low Value,0
0x0049b10fc0626160dc1e9219fe76129f1a48492a,21,1,14.92212677,Low Value,0
0x0049d98a09cd2722627bbffbf850f6293bc8628b,31,1,10.69551621,Low Value,1
0x004ac9ca5034219bf1262b6562156efc6ca13e54,12,1,5.56984253,Low Value,0
0x004afa6fa3e726e4485967a27a25a013aa5158f9,24,1,1.72952203,Low Value,0
0x004bedaad541eafd2cd0586f244d2c8fc37a205e,19,1,12.49398758,Low Value,0
0x004d5f46ff83503f3e86131ef1877fa13090a329,27,1,13.69363025,Low Value,0
0x004f35e3d9cffecfabd61d9c18a5dde6e9e7b48c,64,1,9.0720802,Low Value,1
0x004fa77418960574d421df975c58a6bcc7a5bb74,1,1,8.8429062,Low Value,0
0x005052bf16315d820d022bb5f9cdac47b7c2d6c5,60,1,8.36475284,Low Value,1
0x005175fb1baef4a692820562c2ea861e7c8f3c40,23,1,1.66524157,Low Value,0
0x00526116e590bccc0175ce9fe9a9d4098492ffd5,17,1,2.78379005,Low Value,0
0x00541b9730a36d1a8800bbdb68e6d6b39c23dd90,58,1,14.74741733,Low Value,1
0x005619f32380d19f838cede609a32c5ffc4c7616,40,1,7.34673241,Low Value,1
0x00561bd6e98db11d54041659216757fd6bb29bc8,21,1,4.71528511,Low Value,0
